eventSource,eventType,eventTypeDisplayName,risk,eventSeverity,srcIpAddr,srcIpPort,ipProto,destIpAddr,destIpPort,reptDevIpAddr,user,deviceTime,recvTime
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.17,,192.168.167.17,,2024-05-31 20:30:04,2024-05-31 20:30:00
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.17,,192.168.167.17,,2024-05-31 20:30:03,2024-05-31 20:30:00
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.19,,192.168.167.19,,2024-05-31 20:30:05,2024-05-31 20:30:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 23:06:28,2024-06-01 23:06:24
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 23:06:28,2024-06-01 23:06:24
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 23:06:28,2024-06-01 23:06:24
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.190.1,,192.168.190.1,,2024-05-31 20:30:08,2024-05-31 20:30:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 20:30:01,2024-05-31 20:30:07
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 20:30:01,2024-05-31 20:30:07
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.190.1,,192.168.190.1,,2024-05-31 20:30:09,2024-05-31 20:30:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.190.1,,192.168.190.1,,2024-05-31 20:30:09,2024-05-31 20:30:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.190.1,,192.168.190.1,,2024-05-31 20:30:08,2024-05-31 20:30:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 20:30:01,2024-05-31 20:30:07
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 20:30:01,2024-05-31 20:30:07
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 20:30:01,2024-05-31 20:30:07
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.190.1,,192.168.190.1,,2024-05-31 20:30:09,2024-05-31 20:30:06
