user,Login Time,device
141,2023-01-01 09:41:03.060907002,40
141,2023-01-02 08:08:59.805345360,40
141,2023-01-02 12:00:32.443895183,35
141,2023-01-02 12:12:38.139441302,140
141,2023-01-02 13:45:20.909711558,126
141,2023-01-02 14:48:21.227305631,36
141,2023-01-03 08:34:47.737500066,40
141,2023-01-03 08:57:24.256882703,16
141,2023-01-03 09:42:45.647355548,128
141,2023-01-03 10:23:38.548012313,44
141,2023-01-03 11:32:24.680917213,40
141,2023-01-03 12:39:28.505404623,40
141,2023-01-03 13:18:07.266052787,142
141,2023-01-03 13:38:39.347024989,139
141,2023-01-03 13:56:50.423649631,21
141,2023-01-03 15:56:59.862853336,58
141,2023-01-04 09:15:59.224689582,40
141,2023-01-04 09:29:47.902777533,40
141,2023-01-04 09:51:15.931059252,40
141,2023-01-04 10:54:31.771697723,40
141,2023-01-04 11:07:23.504273601,40
141,2023-01-04 12:00:45.720451825,64
141,2023-01-04 14:25:43.846743126,9
141,2023-01-04 15:54:46.388576059,64
141,2023-01-05 08:11:06.412452498,40
141,2023-01-05 12:33:13.531642815,139
141,2023-01-05 12:59:33.531620246,142
141,2023-01-05 13:20:39.057831749,142
141,2023-01-05 14:02:42.316830048,10
141,2023-01-05 15:07:52.214418215,81
141,2023-01-06 09:23:42.758682336,40
141,2023-01-06 11:46:31.302688526,40
141,2023-01-06 12:06:02.463543125,116
141,2023-01-06 12:33:10.971667621,116
141,2023-01-06 13:49:57.046124673,116
141,2023-01-07 08:08:17.562780606,40
141,2023-01-07 10:05:23.452158447,22
141,2023-01-07 10:51:51.134206578,10
141,2023-01-07 11:48:13.267043399,9
141,2023-01-07 12:12:29.799642410,81
141,2023-01-07 15:26:06.219834406,21
141,2023-01-08 07:58:07.027627326,40
141,2023-01-09 08:30:10.566247446,40
141,2023-01-09 10:37:05.658152717,40
141,2023-01-09 13:15:45.121839286,64
141,2023-01-10 08:46:22.713744534,40
141,2023-01-10 14:04:15.177596822,88
141,2023-01-10 14:34:12.847899990,88
141,2023-01-11 17:22:43.502523690,40
141,2023-01-11 20:53:40.800278863,64
141,2023-01-11 21:19:57.058558472,9
141,2023-01-11 21:41:41.925592044,21
141,2023-01-12 03:49:32.357584352,10
141,2023-01-12 04:04:03.847197455,139
141,2023-01-12 04:35:40.307978386,64
141,2023-01-12 05:22:50.803950766,88
141,2023-01-12 07:55:18.237695082,40
141,2023-01-12 14:19:16.833844389,116
141,2023-01-12 15:25:28.928587223,64
141,2023-01-13 08:53:19.951953168,40
141,2023-01-13 11:10:39.756945293,116
141,2023-01-13 11:58:32.099176239,106
141,2023-01-14 09:28:21.102107916,40
141,2023-01-15 08:44:36.649191192,40
141,2023-01-15 10:10:35.937496326,9
141,2023-01-15 10:32:59.465367651,40
141,2023-01-15 13:50:31.824000829,9
141,2023-01-16 08:18:56.409045600,40
141,2023-01-16 08:55:16.170161747,10
141,2023-01-16 11:04:33.323134574,81
141,2023-01-16 12:22:47.661835882,10
141,2023-01-16 12:41:31.652940516,139
141,2023-01-16 13:18:32.615575346,22
141,2023-01-16 15:28:40.884336990,106
141,2023-01-17 08:18:16.710867193,139
141,2023-01-17 08:31:16.746531072,40
141,2023-01-18 07:55:54.882067638,40
141,2023-01-18 09:21:48.197744534,81
141,2023-01-18 12:14:30.368200820,139
141,2023-01-18 12:26:24.314145148,106
141,2023-01-18 13:01:45.470710112,10
141,2023-01-18 13:22:49.936105622,81
141,2023-01-19 08:21:09.675973560,40
141,2023-01-19 09:59:07.553054751,40
141,2023-01-20 08:20:21.360797700,40
141,2023-01-21 08:33:12.611222628,40
141,2023-01-21 11:42:00.328310779,22
141,2023-01-21 12:51:28.456732699,108
141,2023-01-21 14:46:58.463829916,108
141,2023-01-22 08:56:12.250970256,40
141,2023-01-22 11:09:18.876298679,38
141,2023-01-22 13:28:18.035226143,157
141,2023-01-23 08:46:25.939781556,40
141,2023-01-23 10:00:14.802481477,9
141,2023-01-23 14:12:47.296726275,9
141,2023-01-24 08:52:07.940077134,40
141,2023-01-24 09:07:10.649248315,40
141,2023-01-24 13:49:10.270355702,40
141,2023-01-25 09:15:44.522089206,40
141,2023-01-26 09:05:00.766864686,40
141,2023-01-26 13:38:56.498953645,40
141,2023-01-26 15:01:36.951234659,40
141,2023-01-27 08:15:46.735160904,40
141,2023-01-27 09:07:51.032277060,106
141,2023-01-27 10:09:48.461017427,88
141,2023-01-27 11:14:16.048169564,106
141,2023-01-27 11:43:58.538500022,116
141,2023-01-27 14:51:50.757365846,106
141,2023-01-27 17:23:59.307841478,10
141,2023-01-28 07:55:28.569221053,40
141,2023-01-29 08:36:56.143701126,40
141,2023-01-30 19:00:03.362241168,40
141,2023-01-31 08:41:33.093151668,40
141,2023-02-01 08:17:09.033247410,40
141,2023-02-01 13:22:49.408152679,40
141,2023-02-02 08:25:31.813970903,40
141,2023-02-02 12:20:50.301926818,22
141,2023-02-03 08:55:51.968256159,116
141,2023-02-03 09:16:21.816217020,40
141,2023-02-03 10:19:53.165784216,22
141,2023-02-03 12:09:50.443721905,22
141,2023-02-03 12:38:01.218814083,22
141,2023-02-04 11:37:48.610945472,81
141,2023-02-04 13:09:23.395056998,142
141,2023-02-05 07:27:41.486400830,40
141,2023-02-05 07:47:45.837044394,40
141,2023-02-05 08:21:49.647895426,10
141,2023-02-05 08:54:53.582725023,81
141,2023-02-05 09:45:12.166603666,9
141,2023-02-05 10:46:10.408859605,142
141,2023-02-05 11:56:34.980531994,9
141,2023-02-05 12:39:45.641219681,108
141,2023-02-05 14:13:48.877857848,88
141,2023-02-06 08:43:25.010408166,40
141,2023-02-06 11:38:40.765665558,21
141,2023-02-06 12:11:21.288021673,139
141,2023-02-06 12:22:12.653058151,116
141,2023-02-06 13:13:16.792864786,21
141,2023-02-06 13:45:33.744500229,106
141,2023-02-06 14:41:23.149920143,29
141,2023-02-07 07:56:31.338484505,10
141,2023-02-07 08:43:38.161571479,21
141,2023-02-07 10:00:57.938735946,40
141,2023-02-08 09:52:42.864983874,40
141,2023-02-09 17:41:07.238025546,40
141,2023-02-09 22:06:20.021263258,106
141,2023-02-10 02:34:47.534708649,40
141,2023-02-10 03:23:50.424282479,21
141,2023-02-10 06:28:06.969806981,106
141,2023-02-10 08:39:15.354650807,40
141,2023-02-11 08:26:42.221109360,40
141,2023-02-11 08:42:30.566837509,81
141,2023-02-11 11:14:16.822132044,10
141,2023-02-11 12:32:51.265981113,142
141,2023-02-11 12:42:59.427018001,142
141,2023-02-11 14:43:39.014902827,10
141,2023-02-11 16:33:13.085605018,81
141,2023-02-12 07:44:52.390127971,40
141,2023-02-12 12:35:59.598877101,108
141,2023-02-12 12:56:01.573313163,81
141,2023-02-12 13:07:29.921521916,21
141,2023-02-12 13:56:23.762755618,106
141,2023-02-12 14:27:53.792371739,106
141,2023-02-12 14:46:05.971012034,108
138,2023-01-01 09:04:52.574540466,28
138,2023-01-01 13:27:37.000565395,28
138,2023-01-02 17:35:48.650700882,28
138,2023-01-02 22:57:15.977155929,108
138,2023-01-03 04:15:14.226527193,108
138,2023-01-03 08:12:19.765032396,28
138,2023-01-04 07:52:36.440983632,28
138,2023-01-04 09:42:35.951167644,9
138,2023-01-04 11:35:55.553502785,116
138,2023-01-04 12:24:48.758237864,88
138,2023-01-04 13:12:45.990783406,116
138,2023-01-05 09:30:42.201404094,28
138,2023-01-05 13:15:28.653803834,10
138,2023-01-06 08:00:39.913085718,28
138,2023-01-06 12:52:49.420441122,106
138,2023-01-06 15:20:38.806381108,28
138,2023-01-07 08:34:53.242365288,28
138,2023-01-08 08:51:25.058535210,28
138,2023-01-08 10:13:09.607631456,10
138,2023-01-08 11:01:37.076696380,21
138,2023-01-08 11:46:30.146330880,108
138,2023-01-08 12:44:14.884729329,10
138,2023-01-08 17:13:37.996237486,28
138,2023-01-09 08:42:55.084095252,28
138,2023-01-09 09:23:53.695268801,142
138,2023-01-09 09:58:52.584557586,119
138,2023-01-09 11:33:25.016271930,28
138,2023-01-09 11:55:54.500193072,109
138,2023-01-09 12:06:44.375514267,22
138,2023-01-09 12:26:10.214641294,81
138,2023-01-09 13:17:48.138154517,167
138,2023-01-09 14:46:44.486506743,57
138,2023-01-09 17:47:30.619578269,129
138,2023-01-10 06:48:28.638512726,25
138,2023-01-10 08:36:50.622597600,28
138,2023-01-10 11:18:20.934722408,122
138,2023-01-10 12:26:18.271794128,98
138,2023-01-10 12:43:42.708775516,39
138,2023-01-10 14:41:48.105547542,45
138,2023-01-11 08:47:25.798156512,28
138,2023-01-11 10:32:21.698899466,116
138,2023-01-11 11:17:44.509798083,28
138,2023-01-11 13:45:39.111061018,116
138,2023-01-11 14:37:20.805552165,21
138,2023-01-11 14:51:22.130905524,28
138,2023-01-11 15:10:30.228900676,9
138,2023-01-12 08:28:40.229924526,28
138,2023-01-12 16:17:55.325672768,28
138,2023-01-13 08:42:14.794419684,28
138,2023-01-14 08:16:44.496936912,28
138,2023-01-15 09:46:44.329266054,28
138,2023-01-16 09:13:34.275326634,28
138,2023-01-16 10:48:39.414247648,139
138,2023-01-16 12:50:47.302470091,106
138,2023-01-16 14:59:30.743844957,28
138,2023-01-17 18:02:04.517392464,28
138,2023-01-17 20:33:45.853746085,10
138,2023-01-17 21:49:05.492212174,139
138,2023-01-18 12:11:31.824185535,106
138,2023-01-18 16:43:45.699791142,28
138,2023-01-18 19:10:09.698205684,142
138,2023-01-18 20:24:26.621701946,116
138,2023-01-18 21:34:41.184900144,142
138,2023-01-18 23:01:40.244264764,116
138,2023-01-18 23:55:46.129351525,108
138,2023-01-19 01:01:05.236353182,139
138,2023-01-19 01:21:41.194030090,139
138,2023-01-19 02:05:46.016288812,22
138,2023-01-19 02:19:16.042706923,21
138,2023-01-19 08:00:47.429620248,28
138,2023-01-19 11:38:09.904999229,10
138,2023-01-19 13:36:56.626614344,9
138,2023-01-19 15:28:39.542253886,108
138,2023-01-19 15:53:00.969497723,108
138,2023-01-20 08:12:58.610123706,28
138,2023-01-20 12:12:37.069571153,9
138,2023-01-21 08:01:20.685590040,28
138,2023-01-23 00:43:18.434051796,81
138,2023-01-23 04:10:25.232667989,9
