user,group,device,ip,Login Time
129,9,144,15,2023-01-01 09:41:03.060907002
129,9,144,15,2023-01-02 08:08:59.805345360
129,9,164,15,2023-01-02 12:00:32.443895183
129,9,143,15,2023-01-02 12:12:38.139441302
129,9,69,15,2023-01-02 13:45:20.909711558
129,9,38,15,2023-01-02 14:48:21.227305631
129,9,144,15,2023-01-03 08:34:47.737500066
129,9,80,15,2023-01-03 08:57:24.256882703
129,9,170,15,2023-01-03 09:42:45.647355548
129,9,121,15,2023-01-03 10:23:38.548012313
129,9,144,15,2023-01-03 11:32:24.680917213
129,9,144,15,2023-01-03 12:39:28.505404623
129,9,11,15,2023-01-03 13:18:07.266052787
129,9,2,15,2023-01-03 13:38:39.347024989
129,9,64,15,2023-01-03 13:56:50.423649631
129,9,31,15,2023-01-03 15:56:59.862853336
129,9,144,15,2023-01-04 09:15:59.224689582
129,9,144,15,2023-01-04 09:29:47.902777533
129,9,144,15,2023-01-04 09:51:15.931059252
129,9,144,15,2023-01-04 10:54:31.771697723
129,9,144,15,2023-01-04 11:07:23.504273601
129,9,75,15,2023-01-04 12:00:45.720451825
129,9,33,15,2023-01-04 14:25:43.846743126
129,9,75,15,2023-01-04 15:54:46.388576059
129,9,144,15,2023-01-05 08:11:06.412452498
129,9,2,15,2023-01-05 12:33:13.531642815
129,9,11,15,2023-01-05 12:59:33.531620246
129,9,11,15,2023-01-05 13:20:39.057831749
129,9,10,15,2023-01-05 14:02:42.316830048
129,9,113,15,2023-01-05 15:07:52.214418215
129,9,144,15,2023-01-06 09:23:42.758682336
129,9,144,15,2023-01-06 11:46:31.302688526
129,9,120,15,2023-01-06 12:06:02.463543125
129,9,120,15,2023-01-06 12:33:10.971667621
129,9,120,15,2023-01-06 13:49:57.046124673
129,9,144,15,2023-01-07 08:08:17.562780606
129,9,44,15,2023-01-07 10:05:23.452158447
129,9,10,15,2023-01-07 10:51:51.134206578
129,9,33,15,2023-01-07 11:48:13.267043399
129,9,113,15,2023-01-07 12:12:29.799642410
129,9,64,15,2023-01-07 15:26:06.219834406
129,9,144,15,2023-01-08 07:58:07.027627326
129,9,144,15,2023-01-09 08:30:10.566247446
