user,group,device,ip,Login Time,timedelta to previous same user,timedelta to previous same group,timedelta to previous same device,timedelta to previous same ip,timedelta to previous same user-group,timedelta to previous same user-device,timedelta to previous same user-ip,timedelta to previous same group-device,timedelta to previous same group-ip,timedelta to previous same device-ip,timedelta to previous same user-group-device,timedelta to previous same user-group-ip,timedelta to previous same user-device-ip,timedelta to previous same group-device-ip
10,1,66,26,2022-12-31 23:51:21.965702160,,,,,,,,,,,,,,
13,1,24,14,2023-01-01 00:13:41.089726248,,1339.124,,,,,,,,,,,,
43,8,124,58,2023-01-01 00:27:06.749145924,,,,,,,,,,,,,,
27,8,147,138,2023-01-01 00:30:18.933963792,,192.18481,,,,,,,,,,,,
118,8,90,78,2023-01-01 00:37:25.728304308,,426.79434,,,,,,,,,,,,
20,1,62,6,2023-01-01 00:41:58.697344596,,1697.6077,,,,,,,,,,,,
100,7,155,108,2023-01-01 00:43:07.268077872,,,,,,,,,,,,,,
75,7,97,134,2023-01-01 00:44:18.995981250,,71.727905,,,,,,,,,,,,
122,1,162,153,2023-01-01 00:51:37.021765338,,578.3244,,,,,,,,,,,,
27,8,11,138,2023-01-01 01:25:18.155926717,3299.222,2872.4277,,3299.222,3299.222,,3299.222,,3299.222,,,3299.222,,
142,8,55,89,2023-01-01 01:25:18.768191760,,0.61226505,,,,,,,,,,,,
79,8,4,8,2023-01-01 01:29:46.678065528,,267.90988,,,,,,,,,,,,
43,8,115,58,2023-01-01 01:32:04.829687277,3898.0806,138.15163,,3898.0806,3898.0806,,3898.0806,,3898.0806,,,3898.0806,,
43,8,120,58,2023-01-01 01:49:42.655289038,1057.8256,1057.8256,,1057.8256,1057.8256,,1057.8256,,1057.8256,,,1057.8256,,
43,8,44,58,2023-01-01 02:09:53.435625053,1210.7804,1210.7804,,1210.7804,1210.7804,,1210.7804,,1210.7804,,,1210.7804,,
10,1,11,26,2023-01-01 02:16:40.023277889,8718.058,5103.0015,3081.8674,8718.058,8718.058,,8718.058,,8718.058,,,8718.058,,
118,8,44,78,2023-01-01 02:27:37.109494270,6611.3813,1063.6738,1063.6738,6611.3813,6611.3813,,6611.3813,1063.6738,6611.3813,,,6611.3813,,
142,8,55,89,2023-01-01 02:38:33.330248796,4394.562,656.22076,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562,4394.562
27,8,147,138,2023-01-01 02:57:47.263450482,5549.1074,1153.9332,8848.329,5549.1074,5549.1074,8848.329,5549.1074,8848.329,5549.1074,8848.329,8848.329,5549.1074,8848.329,8848.329
43,8,64,58,2023-01-01 03:06:22.187791541,3388.7522,514.9243,,3388.7522,3388.7522,,3388.7522,,3388.7522,,,3388.7522,,
27,8,147,138,2023-01-01 03:12:38.306097644,891.04266,376.11832,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266,891.04266
118,8,10,78,2023-01-01 03:16:47.223715769,2950.1143,248.91762,,2950.1143,2950.1143,,2950.1143,,2950.1143,,,2950.1143,,
13,1,40,14,2023-01-01 03:29:28.055560663,11746.966,4368.032,,11746.966,11746.966,,11746.966,,11746.966,,,11746.966,,
43,8,44,58,2023-01-01 03:36:06.363083167,1784.1753,1159.1394,4109.2534,1784.1753,1784.1753,5172.9272,1784.1753,4109.2534,1784.1753,5172.9272,5172.9272,1784.1753,5172.9272,5172.9272
79,8,10,8,2023-01-01 04:05:16.963675769,9330.285,1750.6006,2909.74,9330.285,9330.285,,9330.285,2909.74,9330.285,,,9330.285,,
43,8,113,58,2023-01-01 04:16:11.814877566,2405.452,654.8512,,2405.452,2405.452,,2405.452,,2405.452,,,2405.452,,
67,3,113,76,2023-01-01 04:43:47.831926179,,,1656.0171,,,,,,,,,,,
4,10,2,139,2023-01-01 04:47:16.641675782,,,,,,,,,,,,,,
43,8,64,58,2023-01-01 05:27:56.806639415,4304.9917,4304.9917,8494.619,4304.9917,4304.9917,8494.619,4304.9917,8494.619,4304.9917,8494.619,8494.619,4304.9917,8494.619,8494.619
118,8,169,78,2023-01-01 05:30:35.869997597,8028.6465,159.06335,,8028.6465,8028.6465,,8028.6465,,8028.6465,,,8028.6465,,
27,8,2,138,2023-01-01 06:01:51.026987834,10152.721,1875.157,4474.3853,10152.721,10152.721,,10152.721,,10152.721,,,10152.721,,
13,1,24,14,2023-01-01 06:38:51.075873688,11363.0205,11363.0205,23109.986,11363.0205,11363.0205,23109.986,11363.0205,23109.986,11363.0205,23109.986,23109.986,11363.0205,23109.986,23109.986
114,10,108,150,2023-01-01 06:48:14.176659140,,7257.535,,,,,,,,,,,,
111,3,69,24,2023-01-01 07:21:45.428294029,,9477.597,,,,,,,,,,,,
13,1,37,14,2023-01-01 07:23:28.410239602,2677.3345,2677.3345,,2677.3345,2677.3345,,2677.3345,,2677.3345,,,2677.3345,,
112,3,163,71,2023-01-01 07:24:59.095840963,,193.66754,,,,,,,,,,,,
32,1,170,147,2023-01-01 07:41:23.787815934,,1075.3776,,,,,,,,,,,,
33,3,22,133,2023-01-01 07:44:18.513752868,,1159.418,,,,,,,,,,,,
4,10,61,139,2023-01-01 07:48:00.536849382,10843.8955,3586.36,,10843.8955,10843.8955,,10843.8955,,10843.8955,,,10843.8955,,
143,10,28,142,2023-01-01 07:48:38.163899064,,37.62705,,,,,,,,,,,,
52,1,81,4,2023-01-01 07:50:43.859397318,,560.0716,,,,,,,,,,,,
60,10,102,2,2023-01-01 07:54:59.038255074,,380.87436,,,,,,,,,,,,
36,3,38,127,2023-01-01 07:55:04.109885406,,645.5961,,,,,,,,,,,,
54,3,123,98,2023-01-01 07:57:00.711394368,,116.60151,,,,,,,,,,,,
40,3,18,88,2023-01-01 07:59:22.973257176,,142.26186,,,,,,,,,,,,
18,10,44,81,2023-01-01 08:00:11.165645443,,312.12738,15844.803,,,,,,,,,,,
91,2,96,61,2023-01-01 08:01:50.785416258,,,,,,,,,,,,,,
8,10,51,32,2023-01-01 08:02:13.037007271,,121.87136,,,,,,,,,,,,
12,8,98,106,2023-01-01 08:02:16.041529098,,7225.0146,,,,,,,,,,,,
125,3,23,60,2023-01-01 08:03:24.988521834,,242.01526,,,,,,,,,,,,
1,3,168,31,2023-01-01 08:03:33.790965462,,8.8024435,,,,,,,,,,,,
28,3,112,9,2023-01-01 08:03:43.799570442,,10.008605,,,,,,,,,,,,
138,8,99,18,2023-01-01 08:06:22.999545300,,246.95802,,,,,,,,,,,,
61,3,13,135,2023-01-01 08:06:38.875287258,,175.07571,,,,,,,,,,,,
15,10,59,51,2023-01-01 08:07:01.043395026,,288.00638,,,,,,,,,,,,
115,3,156,23,2023-01-01 08:08:11.060227572,,92.18494,,,,,,,,,,,,
29,3,19,115,2023-01-01 08:08:22.652946276,,11.592719,,,,,,,,,,,,
55,10,6,96,2023-01-01 08:08:38.416598034,,97.3732,,,,,,,,,,,,
88,7,27,28,2023-01-01 08:09:44.953896186,,26725.957,,,,,,,,,,,,
127,8,37,77,2023-01-01 08:10:03.855912311,,220.85637,2795.4456,,,,,,,,,,,
26,3,101,33,2023-01-01 08:10:53.288116590,,150.63518,,,,,,,,,,,,
